loss_train,accuracy_train,precision_train,recall_train,f1_train,TP_train,TN_train,FP_train,FN_train,loss_val,accuracy_val,precision_val,recall_val,f1_val,TP_val,TN_val,FP_val,FN_val,iteration
0.9799333614482763,0.5050886273384094,0.5002193450927734,0.4975869357585907,0.4988996386528015,135684.0,142486.0,135565.0,137000.0,0.7132319688105065,0.5246959924697876,0.5272191762924194,0.366942822933197,0.432716429233551,42787.0,81057.0,38369.0,73817.0,0
0.8323432014324151,0.5111750364303589,0.5064090490341187,0.5028898119926453,0.5046433210372925,137130.0,144392.0,133659.0,135554.0,0.7129867438966377,0.5196542739868164,0.5558748245239258,0.13770540058612823,0.22072996199131012,16057.0,106597.0,12829.0,100547.0,1
0.764355621836646,0.5138442516326904,0.5091623067855835,0.5034728646278381,0.5063015818595886,137289.0,145703.0,132348.0,135395.0,0.6945943832579282,0.5277379751205444,0.5456582307815552,0.26319852471351624,0.35510972142219543,30690.0,93872.0,25554.0,85914.0,2
0.7305141554411956,0.5173795223236084,0.5128371715545654,0.5045620799064636,0.508665919303894,137586.0,147353.0,130698.0,135098.0,0.6895235342797206,0.5357962846755981,0.5350316762924194,0.46091902256011963,0.49521782994270325,53745.0,72719.0,46707.0,62859.0,3
0.7144520594623323,0.5214704275131226,0.5171504020690918,0.5054128766059875,0.5112143158912659,137818.0,149374.0,128677.0,134866.0,0.6894095499854025,0.5344871282577515,0.53992760181427,0.39018386602401733,0.4530017077922821,45497.0,80658.0,38768.0,71107.0,4
0.7054781863548446,0.5257319808006287,0.521618664264679,0.5082513093948364,0.5148482322692871,138592.0,150947.0,127104.0,134092.0,0.6968954755396973,0.5228360891342163,0.5780471563339233,0.12636788189411163,0.2073964774608612,14735.0,108670.0,10756.0,101869.0,5
0.6999774762426905,0.5305963754653931,0.52674400806427,0.5116361975669861,0.5190802216529846,139515.0,152703.0,125348.0,133169.0,0.6879695842732051,0.5411261320114136,0.5358123183250427,0.5322372913360596,0.5340187549591064,62061.0,65661.0,53765.0,54543.0,6
0.6964721712597303,0.5338465571403503,0.5301654934883118,0.5142362713813782,0.5220794081687927,140224.0,153784.0,124267.0,132460.0,0.6890917810737968,0.5372876524925232,0.5626632571220398,0.2845357060432434,0.377946138381958,33178.0,93638.0,25788.0,83426.0,7
0.6934443897682233,0.538011908531189,0.5346002578735352,0.5170673727989197,0.5256876349449158,140996.0,155306.0,122745.0,131688.0,0.6874932395595214,0.5416980981826782,0.5503337383270264,0.39527803659439087,0.46009334921836853,46091.0,81766.0,37660.0,70513.0,8
0.6916156981901924,0.5408807992935181,0.5376504063606262,0.5192604064941406,0.5282953977584839,141594.0,156288.0,121763.0,131090.0,0.6971334244777342,0.5223700404167175,0.5096948742866516,0.872217059135437,0.643405020236969,101704.0,21591.0,97835.0,14900.0,9
0.6899381339378478,0.5443688631057739,0.5413781404495239,0.5218421220779419,0.5314306616783142,142298.0,157505.0,120546.0,130386.0,0.6963102556232557,0.522196352481842,0.5095442533493042,0.8763335943222046,0.6444013118743896,102184.0,21070.0,98356.0,14420.0,10
