loss_train,accuracy_train,precision_train,recall_train,f1_train,TP_train,TN_train,FP_train,FN_train,loss_val,accuracy_val,precision_val,recall_val,f1_val,TP_val,TN_val,FP_val,FN_val,iteration
0.9669119911847455,0.5058040618896484,0.5005121827125549,0.4985593557357788,0.49953383207321167,135832.0,142732.0,135554.0,136617.0,0.7084842629782786,0.5207007527351379,0.5188493132591248,0.4370201826095581,0.47443217039108276,51061.0,71840.0,47351.0,65778.0,0
0.8198722356952173,0.511799693107605,0.5066231489181519,0.5025601387023926,0.504583477973938,136922.0,144944.0,133342.0,135527.0,0.7037848245833418,0.5199550986289978,0.5507525205612183,0.16411472856998444,0.2528766095638275,19175.0,103550.0,15641.0,97664.0,1
0.7533072398660363,0.5166731476783752,0.5116526484489441,0.5047623515129089,0.5081841349601746,137522.0,147028.0,131258.0,134927.0,0.6907579224160054,0.5331652760505676,0.5246337652206421,0.6062616109848022,0.5625017285346985,70835.0,55008.0,64183.0,46004.0,2
0.7241541772052935,0.5196400880813599,0.5147838592529297,0.5047072768211365,0.5096957087516785,137507.0,148677.0,129609.0,134942.0,0.6896754543760977,0.5337330102920532,0.5285006165504456,0.5385016798973083,0.5334542989730835,62918.0,63059.0,56132.0,53921.0,3
0.7108675791008202,0.5242612361907959,0.5196611285209656,0.5065498352050781,0.51302170753479,138009.0,150720.0,127566.0,134440.0,0.6887370935952275,0.5349616408348083,0.5297350883483887,0.539460301399231,0.5345534682273865,63030.0,63237.0,55954.0,53809.0,4
0.7030608057407575,0.5278963446617126,0.5235300660133362,0.50815749168396,0.5157293081283569,138447.0,152284.0,126002.0,134002.0,0.6899716076318356,0.5339702367782593,0.5589482188224792,0.27762991189956665,0.37098923325538635,32438.0,93595.0,25596.0,84401.0,5
0.6975462562055362,0.5332146883010864,0.5291368365287781,0.5123857855796814,0.5206266045570374,139599.0,154061.0,124225.0,132850.0,0.687897046858924,0.5386222004890442,0.5335644483566284,0.5401449799537659,0.5368345379829407,63110.0,64021.0,55170.0,53729.0,6
0.6938997590118778,0.5378321409225464,0.5340880155563354,0.5151826739311218,0.5244650840759277,140361.0,155842.0,122444.0,132088.0,0.6872034339891048,0.5420539975166321,0.5442867279052734,0.4601973593235016,0.4987223148345947,53769.0,74172.0,45019.0,63070.0,7
0.6915884683757445,0.5414509773254395,0.5379278659820557,0.5182291269302368,0.5278947949409485,141191.0,157005.0,121281.0,131258.0,0.6871808159620546,0.5419819355010986,0.5328335165977478,0.6064841151237488,0.567278265953064,70861.0,57063.0,62128.0,45978.0,8
0.6891368439511681,0.5463589429855347,0.5430859923362732,0.5230887532234192,0.5328998565673828,142515.0,158384.0,119902.0,129934.0,0.6901584400037929,0.5359869599342346,0.5212757587432861,0.7672865986824036,0.6207971572875977,89649.0,36860.0,82331.0,27190.0,9
0.6871921298131508,0.5498379468917847,0.5466268658638,0.5277391076087952,0.5370169878005981,143782.0,159033.0,119253.0,128667.0,0.6917908801096292,0.5338770747184753,0.5734027624130249,0.22798894345760345,0.3262561559677124,26638.0,99373.0,19818.0,90201.0,10
