loss_train,accuracy_train,precision_train,recall_train,f1_train,TP_train,TN_train,FP_train,FN_train,loss_val,accuracy_val,precision_val,recall_val,f1_val,TP_val,TN_val,FP_val,FN_val,iteration
0.96699476790876,0.5059166550636292,0.5006264448165894,0.4986547827720642,0.4996386468410492,135858.0,142768.0,135518.0,136591.0,0.708560056253666,0.52047199010849,0.5185938477516174,0.4363611340522766,0.47393691539764404,50984.0,71863.0,47328.0,65855.0,0
0.8200851686654712,0.5116744041442871,0.5064973831176758,0.5022885203361511,0.5043841600418091,136848.0,144949.0,133337.0,135601.0,0.7038834714376385,0.5202897787094116,0.5518260598182678,0.16462825238704681,0.2535993158817291,19235.0,103569.0,15622.0,97604.0,1
0.753413978616254,0.5166568160057068,0.5116302371025085,0.5049862265586853,0.5082865357398987,137583.0,146958.0,131328.0,134866.0,0.6907362964493398,0.5333771109580994,0.5252060890197754,0.5976001024246216,0.5590692758560181,69823.0,56070.0,63121.0,47016.0,2
0.724196244414404,0.5194911956787109,0.5146326422691345,0.5044797658920288,0.5095056891441345,137445.0,148657.0,129629.0,135004.0,0.689694074474189,0.5342371463775635,0.5289161205291748,0.5404958724975586,0.534643292427063,63151.0,62945.0,56246.0,53688.0,3
0.710909753574373,0.5242775678634644,0.519677996635437,0.506568193435669,0.5130393505096436,138014.0,150724.0,127562.0,134435.0,0.6887087485045087,0.5349404811859131,0.5303729176521301,0.5283937454223633,0.529381513595581,61737.0,64525.0,54666.0,55102.0,4
0.7030259050883491,0.5278237462043762,0.5234729051589966,0.5077023506164551,0.5154670476913452,138323.0,152368.0,125918.0,134126.0,0.689965357944298,0.5337245464324951,0.5582277774810791,0.2783231735229492,0.3714483380317688,32519.0,93456.0,25735.0,84320.0,5
0.6975625964378055,0.5333835482597351,0.5293118953704834,0.5125766396522522,0.5208098888397217,139651.0,154102.0,124184.0,132798.0,0.6879308324286844,0.5394441485404968,0.5345252156257629,0.5389125347137451,0.5367099046707153,62966.0,64359.0,54832.0,53873.0,6
0.693827066208344,0.5383278727531433,0.5345820188522339,0.5160378813743591,0.5251463055610657,140594.0,155882.0,122404.0,131855.0,0.6872408245835411,0.542032778263092,0.5441778302192688,0.4609762132167816,0.49913352727890015,53860.0,74076.0,45115.0,62979.0,7
0.6915715670845811,0.5413947105407715,0.5378550887107849,0.5183465480804443,0.5279206037521362,141223.0,156942.0,121344.0,131226.0,0.6873210798071304,0.5415244102478027,0.5320457816123962,0.6128005385398865,0.5695750117301941,71599.0,56217.0,62974.0,45240.0,8
0.6890404966220246,0.546927273273468,0.5436672568321228,0.5238301753997803,0.5335643887519836,142717.0,158495.0,119791.0,129732.0,0.6900144747716412,0.5360928773880005,0.5215169191360474,0.7616292238235474,0.6191072463989258,88988.0,37546.0,81645.0,27851.0,9
